Product Name,Product Price,Product Colors
Tie-belt Crêpe Dress,$44.99,Blue/floral
Wide-leg Linen-blend Pants,$34.99,Olive green
Oversized Button-front Jacket,$34.99,"Black/washed, Dark denim blue, Light blue, Black"
Heart-pendant Necklace,$5.99,Gold-colored/white
MAMA Cotton Jersey Shorts,$17.99,"Black, Green, Beige"
Wide-leg Pants,$34.99,"White, Peach pink/patterned, Navy blue, Black"
Wide-leg Pants,$45.99,"Black, Beige, Navy blue"
T-shirt Dress with Shoulder Pads,$19.99,Black
Ribbed Crop T-shirt,$5.99,"Dusty pink melange, White, Light beige melange, Black, Dark gray, Light taupe"
Slacks,$29.99,"Black, Navy blue, Black, Powder pink"
Rib-knit Tank Top,$14.99,"Light blue, Light taupe/striped"
MAMA Straight Ankle Jeans,$49.99,"White, Denim blue, Light denim blue"
Rib-knit Top,$24.99,"Light khaki green, Dusty yellow, Cream"
Crinkled Jersey Dress,$17.99,"Black, Black, White/floral"
Denim Midi Skirt,$37.99,"Denim blue, Dark denim blue"
Tie-detail Pointelle-knit Top,$18.99,"Cream, Black"
Ladder-stitch-look Knit Sleeveless Top,$18.99,"Light khaki green, Light beige, Cream"
Pajama Pants,$17.99,"White, White/small flowers, Light blue/striped"
Rib-knit Skirt,$37.99,Cream
Skinny High Denim Shorts,$17.99,"Light denim blue, Black/washed, Denim blue"
Hooded Jacket,$19.99,"Light gray melange, Light taupe, Dark gray"
Seamless Padded Soft-cup Bra,$12.99,"Black, White, Light beige"
V-neck Swimsuit,$26.99,"Black, Brown"
Rib-knit Off-the-shoulder Top,$29.99,"White/black striped, Cream"
2-pack Crop T-shirts,$13.99,"Light beige/dark gray, Light gray melange/white, White"
Wing-shaped Earrings,$10.99,Gold-colored
Short Hooded Sweatshirt Jacket,$19.99,"Light gray melange, Black, Dark gray, White, Dusty pink melange, Light gray"
Knit Tunic,$34.99,"White, Black"
MAMA 3-pack Nursing Tank Tops,$34.99,"Black/white/gray melange, Light blue/striped, Khaki green/beige melange"
Linen-blend Bomber Jacket,$44.99,"Black, Dark khaki green"
Oversized Cotton T-shirt,$37.99,"White/black striped, White"
Pull-on Culottes,$34.99,Black
Linen-blend Jacket Dress,$64.99,"Black, Light beige/pinstriped"
MAMA Bouclé Dress,$59.99,White
5-pack Briefs,$9.99,"Light purple/white/beige, Black"
Gathered-sleeve Jacket,$49.99,"Beige, Black"
Top with Eyelet Embroidered Sleeves,$19.99,"Black, Sage green, White"
Tailored Suit Vest,$37.99,"White, Black"
Tie-detail Pleated Dress,$59.99,"Powder pink, Light dusty turquoise, Black"
Frayed-edge Flared Skirt,$49.99,Light blue
Feather Soft Denim Skirt,$34.99,"Light denim blue, Black, Pale denim blue"
Denim Bodycon Dress,$49.99,Denim blue
Tie-detail Puff-sleeved Blouse,$9.99,Cream
Dress with Collar,$29.99,"Light yellow/floral, Cream/patterned"
7-pack Hipster Briefs,$19.99,"Black, Powder pink/dark pink"
Pointed Slingback Pumps,$34.99,Light beige
Pointed Slingbacks,$29.99,"Black, Black/crocodile-patterned"
Tie Bikini Bottoms,$13.99,"Dusty blue, Pigeon blue/patterned, Black, Light beige/leopard print, Lime green/floral"
Oversized Hooded Jacket,$24.99,"Khaki green, Dark gray, Black, Light gray melange, Black, Light gray melange"
Linen-blend shirt,$24.99,"Gray, Blue"
Knit Tube Top,$37.99,"Black, Beige"
Skinny High Jeans,$19.99,"Denim blue, Black, Black, Dark denim blue, Black, Light gray, Denim blue, Dark denim blue, Denim blue"
MAMA Dress Pants,$39.99,"Black, Beige, White, Navy blue"
Draped Bandeau Top,$17.99,Light beige/striped
Padded Triangle Bikini Top,$14.99,"Pigeon blue, Pigeon blue/patterned, Black, Lime green/floral"
Draped Dress,$37.99,"Pigeon blue, Cream, Black/white striped, Gray, Cream, Khaki green"
Short Tank Top,$7.99,"Black, Dusty green, Light gray melange"
Cap-sleeved Top,$12.99,"White/dotted, Black, Gray"
Ribbed Jersey Top,$19.99,"White/blue striped, White/black striped, Sage green/striped"
Faux Pearl Pendant Earrings,$5.99,Gold-colored/white
Dress Pants,$26.99,"Black/pinstriped, Black, Dark gray, Light taupe, Gray, Light taupe, Dark gray, Black, Black"
MAMA Linen-blend Pants,$39.99,"Black, Khaki green"
Chunky Loafers,$40.99,"Black, Black"
Cotton T-shirt,$6.99,"Sky blue, Pale yellow, Pink"
Microfiber Maxi Skirt,$24.99,"Black, Dark gray, Dark beige, Light beige"
Jersey Pajamas,$24.99,"Light gray/striped, Dark gray/hearts, Gray/dotted"
Blouse with Scarf Collar,$34.99,Peach pink/patterned
MAMA Ribbed Dress,$19.99,Black
Slides,$17.99,"Brown, Black, Light beige"
Ruffle-trimmed Cotton Blouse,$14.99,"White, Blue/striped"
Halterneck Crop Top,$19.99,White/floral
Pointed Loafers,$31.99,"Brown/natural white, Black"
Fitted Poplin Shirt,$17.99,"White, Black, Light blue/striped"
Smocked-waist Jersey Dress,$19.99,"Black, Red, White/black striped"
Printed T-shirt,$6.99,"Cream/Society Club, Navy blue/France 28, White/Seoul, Black/Calais"
Bikini Bottoms,$13.99,"Khaki green, Black, White, Dark khaki green, Black, Navy blue, Black, White, Turquoise"
Sheer Ribbed Top,$24.99,Burgundy
2-pack 20 Denier Tights,$8.99,"Black, Porcelain, Dark brown"
2-pack Crop Tube Tops,$9.99,"White/black, Sage green/white, Light green/white"
